Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Likelihood	Effect
le	1	6270	101	80	21	93.701	1.602
tenir	2	210	15	13	2	51.334	3.751
gauche	3	160	11	4	7	36.804	3.696
main	4	290	13	3	10	33.135	3.079
tirez	5	90	8	5	3	30.751	4.066
passez	6	60	6	4	2	24.459	4.236
coton	7	140	8	1	7	23.943	3.429
autour	8	150	8	1	7	22.913	3.329
tiens	9	20	4	2	2	22.078	5.236
poids	9	20	4	0	4	22.078	5.236
type	11	50	5	4	1	20.379	4.236
boucle	12	440	12	7	5	20.253	2.362
suffisamment	13	30	4	2	2	18.640	4.651
des	14	3290	3	0	3	18.591	-2.541
du	15	1890	26	15	11	17.952	1.374
choisissez	16	70	5	3	2	17.074	3.751
scheepjes	17	40	4	2	2	16.300	4.236
travers	18	180	7	0	7	16.034	2.874
enroulez	19	20	3	2	1	14.713	4.821
