Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Likelihood	Effect
si	1	760	49	42	7	86.826	2.409
pouvez	2	250	27	1	26	72.711	3.153
voulez	3	70	16	4	12	67.307	4.235
avez	4	170	20	2	18	57.081	3.277
crochetez	5	30	9	4	5	43.290	4.627
êtes	6	90	11	2	9	32.174	3.332
savez	7	60	9	2	7	29.948	3.627
vous	8	2700	66	33	33	26.774	1.010
aurez	9	80	9	1	8	24.886	3.212
pourrez	10	90	9	0	9	22.889	3.042
que	11	2490	59	47	12	22.018	0.965
devez	12	80	8	0	8	20.343	3.042
souhaitez	13	70	7	0	7	17.798	3.042
dites	14	30	5	1	4	17.697	3.779
