Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
crochet	NOUN	None	1	448	0	1	0	20144.791	0.000	1.000	0.000	3265.312	0.039
maille	NOUN	None	2	105	1	1	1	4721.435	1.219	1.000	0.071	752.453	0.009
fil	NOUN	None	3	118	56	1	11	5305.994	68.277	1.000	0.786	642.691	0.011
mailles	NOUN	None	4	89	2	1	2	4001.979	2.438	1.000	0.143	628.159	0.008
points	NOUN	None	5	90	121	1	11	4046.945	147.526	1.000	0.786	373.067	0.008
tricot	NOUN	None	6	51	1	1	1	2293.269	1.219	1.000	0.071	360.998	0.005
bride	NOUN	None	7	48	2	1	1	2158.370	2.438	1.000	0.071	332.320	0.004
chaînette	NOUN	None	8	42	0	1	0	1888.574	0.000	1.000	0.000	305.371	0.004
boucle	NOUN	None	9	44	2	1	2	1978.506	2.438	1.000	0.143	303.569	0.004
serrée	ADJ	None	10	41	1	1	1	1843.608	1.219	1.000	0.071	288.700	0.004
boucles	NOUN	None	11	41	3	1	2	1843.608	3.658	1.000	0.143	276.354	0.004
vous	PRON	None	12	270	3154	1	13	12140.834	3845.432	1.000	0.929	243.057	0.021
débuter	VERB	None	13	32	0	1	0	1438.914	0.000	1.000	0.000	232.649	0.003
laine	NOUN	None	14	31	0	1	0	1393.948	0.000	1.000	0.000	225.378	0.003
ia	NOUN	None	14	31	0	1	0	1393.948	0.000	1.000	0.000	225.378	0.003
patrons	NOUN	None	16	31	4	1	3	1393.948	4.877	1.000	0.214	200.715	0.003
serrées	ADJ	None	17	28	1	1	1	1259.049	1.219	1.000	0.071	194.917	0.003
crocheter	VERB	None	17	28	1	1	1	1259.049	1.219	1.000	0.071	194.917	0.003
amigurumis	NOUN	None	19	26	0	1	0	1169.117	0.000	1.000	0.000	189.021	0.002
tunisien	ADJ	None	20	27	1	1	1	1214.083	1.219	1.000	0.071	187.717	0.002
patron	NOUN	None	21	38	31	1	8	1708.710	37.796	1.000	0.571	182.994	0.003
crochets	NOUN	None	22	25	0	1	0	1124.151	0.000	1.000	0.000	181.750	0.002
pour	PREP	None	23	369	6090	1	14	16592.473	7425.073	1.000	1.000	180.934	0.026
jeté	VERB	None	24	33	16	1	6	1483.880	19.508	1.000	0.429	178.870	0.003
ouvrage	NOUN	None	25	43	58	1	9	1933.540	70.715	1.000	0.643	177.961	0.004
brides	NOUN	None	26	22	0	1	0	989.253	0.000	1.000	0.000	159.937	0.002
croch	NPR	None	26	22	0	1	0	989.253	0.000	1.000	0.000	159.937	0.002
point	NOUN	None	28	80	479	1	14	3597.284	584.008	1.000	1.000	148.316	0.007
apprendre	VERB	None	29	37	62	1	10	1663.744	75.592	1.000	0.714	141.460	0.003
rang	NOUN	None	30	31	39	1	6	1393.948	47.550	1.000	0.429	131.337	0.003
votre	PRON	None	31	64	375	1	11	2877.827	457.209	1.000	0.786	120.742	0.006
faire	VERB	None	32	131	1508	1	14	5890.553	1838.589	1.000	1.000	120.050	0.011
double	ADV	None	33	34	79	1	12	1528.846	96.319	1.000	0.857	113.189	0.003
allongée	ADJ	None	34	17	2	1	2	764.423	2.438	1.000	0.143	110.904	0.002
wooly	NPR	None	35	15	0	1	0	674.491	0.000	1.000	0.000	109.043	0.001
amigurumi	NOUN	None	35	15	0	1	0	674.491	0.000	1.000	0.000	109.043	0.001
abréviation	NOUN	None	37	16	2	1	1	719.457	2.438	1.000	0.071	103.862	0.001
rangs	NOUN	None	38	19	10	1	4	854.355	12.192	1.000	0.286	101.297	0.002
projets	NOUN	None	39	29	63	1	7	1304.015	76.811	1.000	0.500	99.530	0.003
aiguille	NOUN	None	40	15	2	1	2	674.491	2.438	1.000	0.143	96.835	0.001
tuto	NOUN	None	41	13	0	1	0	584.559	0.000	1.000	0.000	94.503	0.001
air	NOUN	None	42	37	143	1	13	1663.744	174.349	1.000	0.929	93.766	0.003
tricoter	VERB	None	43	12	0	1	0	539.593	0.000	1.000	0.000	87.233	0.001
chainette	NOUN	None	43	12	0	1	0	539.593	0.000	1.000	0.000	87.233	0.001
coton	NOUN	None	45	14	5	1	2	629.525	6.096	1.000	0.143	80.140	0.001
main	NOUN	None	46	29	101	1	12	1304.015	123.142	1.000	0.857	78.231	0.003
conseils	NOUN	None	47	19	28	1	7	854.355	34.138	1.000	0.500	76.200	0.002
ciseaux	NOUN	None	48	13	4	1	2	584.559	4.877	1.000	0.143	76.167	0.001
mini	ADV	None	49	15	10	1	7	674.491	12.192	1.000	0.500	75.927	0.001
le	DET	None	50	627	15969	1	14	28193.714	19469.784	1.000	1.000	75.652	0.032
