Type	POS	Rank	NormFreq_Tar	NormFreq_Ref	Keyness (Likelihood)	Keyness (Effect)
crochet	NOUN	1	20144.791	0.000	3265.312	0.039
maille	NOUN	2	4721.435	1.219	752.453	0.009
fil	NOUN	3	5305.994	68.277	642.691	0.011
mailles	NOUN	4	4001.979	2.438	628.159	0.008
points	NOUN	5	4046.945	147.526	373.067	0.008
tricot	NOUN	6	2293.269	1.219	360.998	0.005
bride	NOUN	7	2158.370	2.438	332.320	0.004
chaînette	NOUN	8	1888.574	0.000	305.371	0.004
boucle	NOUN	9	1978.506	2.438	303.569	0.004
serrée	ADJ	10	1843.608	1.219	288.700	0.004
boucles	NOUN	11	1843.608	3.658	276.354	0.004
vous	PRON	12	12140.834	3845.432	243.057	0.021
débuter	VERB	13	1438.914	0.000	232.649	0.003
laine	NOUN	14	1393.948	0.000	225.378	0.003
ia	NOUN	14	1393.948	0.000	225.378	0.003
patrons	NOUN	16	1393.948	4.877	200.715	0.003
serrées	ADJ	17	1259.049	1.219	194.917	0.003
crocheter	VERB	17	1259.049	1.219	194.917	0.003
amigurumis	NOUN	19	1169.117	0.000	189.021	0.002
tunisien	ADJ	20	1214.083	1.219	187.717	0.002
patron	NOUN	21	1708.710	37.796	182.994	0.003
crochets	NOUN	22	1124.151	0.000	181.750	0.002
pour	PREP	23	16592.473	7425.073	180.934	0.026
jeté	NOUN	24	1483.880	19.508	178.870	0.003
ouvrage	NOUN	25	1933.540	70.715	177.961	0.004
brides	NOUN	26	989.253	0.000	159.937	0.002
croch	NPR	26	989.253	0.000	159.937	0.002
point	NOUN	28	3597.284	584.008	148.316	0.007
apprendre	VERB	29	1663.744	75.592	141.460	0.003
rang	NOUN	30	1393.948	47.550	131.337	0.003
votre	PRON	31	2877.827	457.209	120.742	0.006
faire	VERB	32	5890.553	1838.589	120.050	0.011
double	ADV	33	1528.846	96.319	113.189	0.003
allongée	ADJ	34	764.423	2.438	110.904	0.002
wooly	NPR	35	674.491	0.000	109.043	0.001
amigurumi	NOUN	35	674.491	0.000	109.043	0.001
abréviation	NOUN	37	719.457	2.438	103.862	0.001
rangs	NOUN	38	854.355	12.192	101.297	0.002
projets	NOUN	39	1304.015	76.811	99.530	0.003
aiguille	NOUN	40	674.491	2.438	96.835	0.001
tuto	NOUN	41	584.559	0.000	94.503	0.001
air	NOUN	42	1663.744	174.349	93.766	0.003
tricoter	VERB	43	539.593	0.000	87.233	0.001
chainette	NOUN	43	539.593	0.000	87.233	0.001
coton	NOUN	45	629.525	6.096	80.140	0.001
main	NOUN	46	1304.015	123.142	78.231	0.003
conseils	NOUN	47	854.355	34.138	76.200	0.002
ciseaux	NOUN	48	584.559	4.877	76.167	0.001
mini	ADV	49	674.491	12.192	75.927	0.001
le	DET	50	28193.714	19469.784	75.652	0.032
